hour,temperature_C,temp_layer2,temp_layer5,temp_layer10,h_ML,Q_flux,salinity
57,-0.6599292,-0.6624672,-0.6681004,-0.9873402,10.183939,105.3218183517456,34.21281
58,-0.6553627,-0.6578762,-0.6635384,-0.9872045,10.21377,104.85225995381673,34.212807
59,-0.65097284,-0.65346503,-0.6591731,-0.9870658,10.249444,104.38270155588786,34.212807
60,-0.6466532,-0.64913595,-0.6548757,-0.98692423,10.265406,103.91314315795898,34.212803
61,-0.6424032,-0.64496493,-0.65117544,-0.9867799,10.256825,103.4435847600301,34.2128
62,-0.63849056,-0.6411252,-0.6478548,-0.9866329,10.247025,102.97402636210124,34.2128
63,-0.6347977,-0.6374748,-0.6444209,-0.9864831,10.241909,102.50446796417236,34.212795
64,-0.63120615,-0.63390493,-0.64095306,-0.9863306,10.242498,102.03490956624348,34.212795
65,-0.6276217,-0.6303209,-0.6373444,-0.9861754,10.2455435,101.56535116831462,34.212795
66,-0.62401116,-0.626699,-0.6336442,-0.9860175,10.249558,101.09579277038574,34.21279
67,-0.62036574,-0.62303877,-0.62989974,-0.9858569,10.252995,100.62623437245686,34.21279
68,-0.6166873,-0.6193446,-0.6261205,-0.9856935,10.255076,100.156675974528,34.21279
69,-0.61297745,-0.61562014,-0.62232405,-0.98552746,10.255699,99.68711757659912,34.21279
70,-0.60923195,-0.6118598,-0.61849576,-0.9853587,10.254661,99.21755917867024,34.21279
71,-0.6054787,-0.6080964,-0.6147016,-0.9851872,10.2518215,98.74800078074138,34.21279
72,-0.6017239,-0.604333,-0.6109177,-0.9850129,10.247506,98.2784423828125,34.21279
73,-0.59799564,-0.6006006,-0.60719174,-0.98483586,10.242089,98.35315322875977,34.21279
74,-0.5942821,-0.59688216,-0.6034702,-0.98465604,10.236333,98.42786407470703,34.21279
75,-0.5906002,-0.59319764,-0.59980243,-0.9844734,10.230456,98.5025749206543,34.212795
76,-0.58692664,-0.58951724,-0.59610415,-0.98428804,10.224494,98.57728576660156,34.212795
77,-0.5832748,-0.58585966,-0.5924468,-0.9840998,10.218668,98.65199661254883,34.212795
78,-0.5796324,-0.58220863,-0.58877003,-0.9839088,10.212557,98.7267074584961,34.2128
79,-0.57599825,-0.57856435,-0.58509517,-0.9837148,10.206674,98.80141830444336,34.2128
80,-0.5723502,-0.57490087,-0.5813648,-0.98351806,10.200721,98.87612915039062,34.212803
81,-0.5687003,-0.57123667,-0.57765377,-0.9833184,10.194775,98.95083999633789,34.212803
82,-0.5650389,-0.5675585,-0.57390976,-0.98311585,10.188303,99.02555084228516,34.212807
83,-0.56136715,-0.5638699,-0.5701614,-0.98291034,10.181906,99.10026168823242,34.212807
84,-0.55759233,-0.56010544,-0.5663768,-0.9827018,10.163793,99.17497253417969,34.212803
85,-0.5536493,-0.5562066,-0.56250745,-0.98249,10.132507,99.24968338012695,34.212788
86,-0.54957324,-0.55218303,-0.5585288,-0.98227507,10.099449,99.32439422607422,34.212765
87,-0.54535496,-0.5480184,-0.5544097,-0.9820568,10.067784,99.39910507202148,34.21273
88,-0.5409872,-0.5437051,-0.5501404,-0.98183537,10.0382595,99.47381591796875,34.212692
89,-0.53643763,-0.53919727,-0.5457752,-0.9816106,9.965448,99.54852676391602,34.212646
90,-0.5316035,-0.534377,-0.54162467,-0.9813826,9.729628,99.62323760986328,34.212593
91,-0.52647996,-0.529234,-0.53727645,-0.9811513,9.431865,99.69794845581055,34.21253
92,-0.521213,-0.5240844,-0.5330494,-0.98091674,9.174969,99.77265930175781,34.21246
93,-0.51593184,-0.51887995,-0.5288722,-0.9806789,8.953775,99.84737014770508,34.212383
94,-0.5105603,-0.5135955,-0.52489644,-0.9804378,8.769538,99.92208099365234,34.212296
95,-0.5051433,-0.50827223,-0.5209817,-0.98019344,8.607357,99.99679183959961,34.212204
96,-0.4996321,-0.50284976,-0.51737565,-0.9799458,8.475043,100.07150268554688,34.2121
97,-0.49415538,-0.49747744,-0.51357156,-0.9796949,8.36221,100.69704469045003,34.211994
98,-0.48864532,-0.49206266,-0.509812,-0.97944087,8.277036,101.3225866953532,34.21188
99,-0.48312455,-0.4866389,-0.50596,-0.97918355,8.2107525,101.94812870025635,34.211758
100,-0.47756514,-0.48116988,-0.50213194,-0.9789231,8.157169,102.5736707051595,34.211624
101,-0.47196713,-0.47565666,-0.49832714,-0.9786594,8.114161,103.19921271006267,34.211487
102,-0.46633443,-0.4701075,-0.49450615,-0.9783926,8.079085,103.82475471496582,34.21134
103,-0.46066982,-0.46451175,-0.49071455,-0.9781227,8.049674,104.45029671986897,34.21119
104,-0.45494777,-0.45885825,-0.486974,-0.9778497,8.0254755,105.07583872477214,34.21103
105,-0.44914412,-0.45314294,-0.48321,-0.97757363,7.9993267,105.7013807296753,34.21086
106,-0.4432682,-0.4472777,-0.47964686,-0.9772945,7.927541,106.32692273457845,34.210686
107,-0.43721747,-0.44123378,-0.47632444,-0.97701246,7.8350353,106.95246473948161,34.2105
108,-0.43084794,-0.43490297,-0.4733242,-0.9767267,7.700696,107.57800674438477,34.210304
109,-0.42414117,-0.42820418,-0.4709173,-0.97643685,7.5145645,108.20354874928792,34.21011
110,-0.41732216,-0.421452,-0.46687073,-0.97614276,7.3345213,108.82909075419109,34.209923
111,-0.4102645,-0.41446003,-0.46494892,-0.9758445,7.106626,109.45463275909424,34.209732
112,-0.40305197,-0.40731505,-0.46478468,-0.9755421,7.0167084,110.08017476399739,34.209545
113,-0.3957022,-0.40000588,-0.46448874,-0.9752356,7.0259905,110.70571676890056,34.209362
114,-0.38817582,-0.3925298,-0.4641586,-0.9749249,7.0246706,111.33125877380371,34.209175
115,-0.3804373,-0.38482565,-0.46383017,-0.97461015,7.014471,111.95680077870686,34.208992
116,-0.37262848,-0.37709275,-0.46332544,-0.97429127,6.983969,112.58234278361003,34.20881
117,-0.3646835,-0.36921167,-0.46280062,-0.9739684,6.966871,113.20788478851318,34.20863
118,-0.35664356,-0.3612349,-0.46217716,-0.9736414,6.9459157,113.83342679341634,34.20845
119,-0.3484827,-0.3531209,-0.4614546,-0.9733104,6.9283895,114.4589687983195,34.208275
120,-0.3402119,-0.34489495,-0.46057537,-0.9729754,6.9069495,115.08451080322266,34.2081
121,-0.3319076,-0.33665666,-0.45952058,-0.9726364,6.884082,114.526930809021,34.207928
122,-0.3235986,-0.32842773,-0.45833302,-0.97229344,6.874132,113.96935081481934,34.20776
123,-0.31521866,-0.32009596,-0.45706955,-0.9719465,6.8805966,113.41177082061768,34.207596
124,-0.3067691,-0.31168646,-0.45568854,-0.97159564,6.8890214,112.85419082641602,34.207436
125,-0.2982846,-0.3032505,-0.45417583,-0.9712409,6.901074,112.29661083221436,34.20728
126,-0.28974363,-0.2947487,-0.4525637,-0.9708822,6.9232044,111.7390308380127,34.207123
127,-0.28114122,-0.28617668,-0.45085052,-0.97051966,6.9510584,111.18145084381104,34.20697
128,-0.27247152,-0.277534,-0.4490358,-0.9701532,6.984067,110.62387084960938,34.20682
129,-0.26375285,-0.26884222,-0.44711813,-0.96978295,7.02185,110.06629085540771,34.206673
130,-0.2549882,-0.26010227,-0.44510922,-0.96940887,7.0681157,109.50871086120605,34.206528
131,-0.24620044,-0.25133944,-0.44301137,-0.96903104,7.1244683,108.9511308670044,34.206387
132,-0.23763728,-0.2427701,-0.44083863,-0.96865004,7.226985,108.39355087280273,34.206257
133,-0.22943833,-0.23444505,-0.4386349,-0.9682667,7.41787,107.83597087860107,34.20614
134,-0.22159716,-0.22647654,-0.43632674,-0.96788114,7.6888237,107.27839088439941,34.206028
135,-0.2142514,-0.21901314,-0.43351617,-0.96749324,8.009019,106.72081089019775,34.205936
136,-0.20666264,-0.21122418,-0.42912257,-0.9671031,8.033907,106.1632308959961,34.20584
137,-0.19915293,-0.20357695,-0.42404,-0.96671087,8.043714,105.60565090179443,34.20575
138,-0.19183211,-0.19614935,-0.41841224,-0.9663164,8.05157,105.04807090759277,34.205666
