,2m_temperature,mean_sea_level_pressure,10m_u_component_of_wind,10m_v_component_of_wind,wind_speed,wind_direction,temp_C,pressure_hPa
Bharati,271.82427978515625,99496.765625,-2.3618316650390625,-2.6115329265594482,3.5211295120295345,42.12572350348444,-1.3257202148437273,994.96765625
Maitri,270.28863525390625,98768.9375,-17.47050666809082,4.87791633605957,18.138706431865604,105.60019236715479,-2.8613647460937273,987.689375
Davis,273.53662109375,99408.4375,-3.157121181488037,-3.905421018600464,5.02192467955531,38.95188648681926,0.38662109375002274,994.084375
McMurdo,268.24981689453125,98720.515625,2.148021697998047,0.054446835070848465,2.148711630936,268.5480100052165,-4.900183105468727,987.20515625
